,Model,MSE,RMSE,MAE,MAPE (%),Bias,Mean,RMSE % of Mean,R2 (%)
0,Baseline (7-day forecast),30239.315476190477,173.89455275019537,139.5654761904762,3.8467420188277535,-95.2797619047619,3675.9166666666665,4.730644585256159,89.94046198392441
2,Prophet (7-day forecast),37823.64151338738,194.48301086055662,164.4972493259535,4.615285462583385,-29.960513635802176,3675.9166666666665,5.290735032818752,87.41742814879785
1,XGBoost (7-day forecast),41916.35047244884,204.73482965154912,153.80298723493303,3.9773832532105153,-118.0570300874256,3675.9166666666665,5.569626523585023,86.05593035316063
